Variables,ACCESS1-3,CanESM2,GFDL-ESM2M,HadGEM2-CC,IPSL-CM5A-LR,MIROC-ESM,MPI-ESM-LR,NorESM1-M,EnsembleCMIP5,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,CESM2,CNRM-ESM2-1,GFDL_ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC-ES2L,MPI-ESM1-2-LR,NorESM2-LM,UKESM1-0-LL,EnsembleCMIP6
Biomass,--,0.645493241026845,0.6128207396458784,--,0.6042082813961348,0.6555309846991251,0.6137890248615248,0.5844500413708793,0.7261118430357588,0.6675218762636898,0.7398101721896142,0.7065341726000025,0.658652472759581,0.6956472899944898,0.6411150269011325,--,0.6768413293296045,0.7161326586320979,0.6195617202080613,0.6682108858477773,0.7218257071222112,0.7754528435854012
Burned Area,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Carbon Dioxide,--,0.6661953804543227,--,--,0.7148844740130147,0.8190159286618988,0.7549472016085435,0.7897245732763667,0.8328997373258672,0.781405513738879,--,0.8014869308327266,0.7692455551008213,0.7854756400779502,0.7534465004808453,--,0.8071591703493601,0.7506692836919935,0.7041623687035709,0.7718144883109824,0.8123335124518432,0.7926496092047461
Gross Primary Productivity,--,0.5477820673477757,0.5155759998516284,--,0.5437865891466285,0.6001444463104436,0.5717109411492542,0.585050733104347,0.6123866409044334,0.6126579513977831,0.6089941115504695,0.5868110800928074,0.6033782591439567,0.5754040332593099,0.5716045403124267,0.5969086481431115,0.6217654638151009,0.54990542903692,0.5750959619061162,0.6061540814155695,0.5871447703437046,0.6647309117276715
Leaf Area Index,0.6635886519178456,0.4841452996774875,0.38471071669727935,--,0.5156633546861825,0.5311124321971796,0.5164666607741784,0.4274548729961034,0.5822774906254387,0.5628941702883863,0.5297961744780011,0.5215932531556632,0.5329283560128067,0.568989564674861,0.4831002734880621,0.6097771428927053,0.5776063696055668,0.558947541762372,0.5398649083628387,0.5345883882819304,0.5525553363901998,0.6282398151598979
Global Net Ecosystem Carbon Balance,--,0.5722765395322061,--,--,0.6789045460086935,0.6150687678584277,0.681883346255332,0.6068281955018944,0.7460368396530518,0.4870040205014853,--,0.48937059208431055,0.7855708507807311,0.3041484426387988,0.36465281117876736,--,0.7607661601394916,0.59303115412346,0.8215922982210493,0.7446544837663827,0.7350958999831336,0.7896989908577324
Net Ecosystem Exchange,--,0.4245043905826704,--,--,0.4822922818073636,0.46580309369036815,0.48890961737371696,0.509507792883644,0.47899892412119954,0.5337833868052955,0.4325953504159345,0.46762186878706774,0.5207797960613696,0.48958477434763825,0.5088114615795807,--,0.46585467459439095,0.515160164581665,0.48592483186575247,0.527209573097918,0.4487292563758549,0.5446568494522555
Ecosystem Respiration,--,0.5587372832035296,--,--,0.5264047028754317,0.6062822289180746,0.5673181264289581,0.5484720051572438,0.6133043256477502,0.5930322296479945,0.5857341503991963,0.5844733646675836,0.5842551320934517,0.5740388288993846,0.5533817714799584,--,0.5977581742125164,0.5570138902448948,0.5292488033609201,0.5745790340528425,0.531503904319941,0.6530311459841833
Soil Carbon,--,0.4254617552367175,0.4006743164000101,0.3904165249089458,0.4276155373386454,0.40690626236243316,0.34826154305847656,0.2573680510204434,0.4396916126265634,0.3905471064323481,0.36735801598626566,0.42200396911618765,0.17433591451003305,--,0.26145440114189294,0.3999251309783254,0.23693845924523166,0.433162064946055,0.31869403537324714,0.16471543637532868,0.37934966141972865,0.35450141441957456
